2025-08-05 07:48:53.880 | DEBUG    | utils.debug_logger:wrapper:93 | {'request_id': 'req_83c6af57', 'function': 'CuttingEdgeAgentObservabilityManager.__init__', 'module': 'utils.agent_observability', 'caller': '<module>'} | ENTER CuttingEdgeAgentObservabilityManager.__init__
2025-08-05 07:52:43.570 | ERROR    | __main__:execute_real_mission:736 | {} | ❌ Real mission mission_e57eff70 failed: RealMissionExecutor not available
2025-08-05 10:06:06.107 | DEBUG    | src.utils.debug_logger:wrapper:93 | {'request_id': 'req_fd17cb43', 'function': 'CuttingEdgeAgentObservabilityManager.__init__', 'module': 'src.utils.agent_observability', 'caller': '<module>'} | ENTER CuttingEdgeAgentObservabilityManager.__init__
2025-08-05 10:06:08.400 | SUCCESS  | src.utils.agent_observability:_initialize_integrations:283 | {} | ✅ W&B initialized for agent analytics.
2025-08-05 10:06:08.405 | DEBUG    | src.utils.debug_logger:wrapper:98 | {'request_id': 'req_fd17cb43', 'function': 'CuttingEdgeAgentObservabilityManager.__init__', 'module': 'src.utils.agent_observability', 'caller': '<module>', 'duration_ms': 2298.19} | EXIT CuttingEdgeAgentObservabilityManager.__init__
2025-08-05 10:06:08.405 | INFO     | src.core.execution_workflow:<module>:25 | {} | ✅ CrewAI components imported successfully
2025-08-05 10:06:08.409 | INFO     | src.agents.executable_agent:__init__:51 | {} | ExecutableAgents initialized with Google AI LLM (CrewAI available: True)
2025-08-05 10:06:08.411 | INFO     | src.core.execution_workflow:__init__:79 | {} | ✅ ExecutionWorkflow initialized with real CrewAI agents and LangChain-compatible LLM
2025-08-05 10:06:08.418 | DEBUG    | src.utils.debug_logger:wrapper:93 | {'request_id': 'req_fd17cb43', 'function': 'CuttingEdgeAgentObservabilityManager.push_event', 'module': 'src.utils.agent_observability', 'caller': '_broadcast_workflow_event'} | ENTER CuttingEdgeAgentObservabilityManager.push_event
2025-08-05 10:06:08.418 | DEBUG    | src.utils.debug_logger:request_context:59 | {'request_id': 'req_8fc6adcd', 'event_id': 'evt_941045ce'} | Starting context: req_8fc6adcd
2025-08-05 10:06:08.418 | DEBUG    | src.utils.agent_observability:push_event:299 | {'event_type': 'mission_started', 'active_connections': 0, 'source': 'execution_workflow', 'severity': 'INFO'} | Attempting to push event evt_941045ce of type mission_started
2025-08-05 10:06:08.418 | INFO     | src.utils.agent_observability:push_event:309 | {'event_type': 'mission_started'} | No active WebSocket connections, skipping event evt_941045ce
2025-08-05 10:06:08.419 | DEBUG    | src.utils.debug_logger:request_context:70 | {'request_id': 'req_8fc6adcd', 'event_id': 'evt_941045ce'} | Ending context: req_8fc6adcd
2025-08-05 10:06:08.419 | DEBUG    | src.utils.debug_logger:wrapper:98 | {'request_id': 'req_fd17cb43', 'function': 'CuttingEdgeAgentObservabilityManager.push_event', 'module': 'src.utils.agent_observability', 'caller': '_broadcast_workflow_event', 'duration_ms': 1.0} | EXIT CuttingEdgeAgentObservabilityManager.push_event
2025-08-05 10:06:08.419 | INFO     | src.core.execution_workflow:execute_mission:115 | {} | 🚀 Executing mission with real CrewAI agents: 
Create a file called litellm_fix_test.txt in the workspace directory
with the content: 'This file w...
2025-08-05 10:06:08.454 | DEBUG    | src.utils.debug_logger:wrapper:93 | {'request_id': 'req_fd17cb43', 'function': 'CuttingEdgeAgentObservabilityManager.push_event', 'module': 'src.utils.agent_observability', 'caller': '_broadcast_workflow_event'} | ENTER CuttingEdgeAgentObservabilityManager.push_event
2025-08-05 10:06:08.454 | DEBUG    | src.utils.debug_logger:request_context:59 | {'request_id': 'req_ab32ae98', 'event_id': 'evt_add338f3'} | Starting context: req_ab32ae98
2025-08-05 10:06:08.454 | DEBUG    | src.utils.agent_observability:push_event:299 | {'event_type': 'crew_executing', 'active_connections': 0, 'source': 'execution_workflow', 'severity': 'INFO'} | Attempting to push event evt_add338f3 of type crew_executing
2025-08-05 10:06:08.454 | INFO     | src.utils.agent_observability:push_event:309 | {'event_type': 'crew_executing'} | No active WebSocket connections, skipping event evt_add338f3
2025-08-05 10:06:08.456 | DEBUG    | src.utils.debug_logger:request_context:70 | {'request_id': 'req_ab32ae98', 'event_id': 'evt_add338f3'} | Ending context: req_ab32ae98
2025-08-05 10:06:08.456 | DEBUG    | src.utils.debug_logger:wrapper:98 | {'request_id': 'req_fd17cb43', 'function': 'CuttingEdgeAgentObservabilityManager.push_event', 'module': 'src.utils.agent_observability', 'caller': '_broadcast_workflow_event', 'duration_ms': 1.89} | EXIT CuttingEdgeAgentObservabilityManager.push_event
2025-08-05 10:06:08.570 | DEBUG    | src.utils.debug_logger:wrapper:93 | {'request_id': 'req_fd17cb43', 'function': 'CuttingEdgeAgentObservabilityManager.push_event', 'module': 'src.utils.agent_observability', 'caller': '_broadcast_workflow_event'} | ENTER CuttingEdgeAgentObservabilityManager.push_event
2025-08-05 10:06:08.571 | DEBUG    | src.utils.debug_logger:request_context:59 | {'request_id': 'req_474c574b', 'event_id': 'evt_6d8aaa02'} | Starting context: req_474c574b
2025-08-05 10:06:08.571 | DEBUG    | src.utils.agent_observability:push_event:299 | {'event_type': 'mission_failed', 'active_connections': 0, 'source': 'execution_workflow', 'severity': 'INFO'} | Attempting to push event evt_6d8aaa02 of type mission_failed
2025-08-05 10:06:08.571 | INFO     | src.utils.agent_observability:push_event:309 | {'event_type': 'mission_failed'} | No active WebSocket connections, skipping event evt_6d8aaa02
2025-08-05 10:06:08.572 | DEBUG    | src.utils.debug_logger:request_context:70 | {'request_id': 'req_474c574b', 'event_id': 'evt_6d8aaa02'} | Ending context: req_474c574b
2025-08-05 10:06:08.572 | DEBUG    | src.utils.debug_logger:wrapper:98 | {'request_id': 'req_fd17cb43', 'function': 'CuttingEdgeAgentObservabilityManager.push_event', 'module': 'src.utils.agent_observability', 'caller': '_broadcast_workflow_event', 'duration_ms': 1.55} | EXIT CuttingEdgeAgentObservabilityManager.push_event
2025-08-05 10:06:08.572 | ERROR    | src.core.execution_workflow:execute_mission:132 | {} | Mission execution failed: litellm.BadRequestError: LLM Provider NOT provided. Pass in the LLM provider you are trying to call. You passed model=models/gemini/gemini-1.5-pro
 Pass model as E.g. For 'Huggingface' inference endpoints pass in `completion(model='huggingface/starcoder',..)` Learn more: https://docs.litellm.ai/docs/providers
